id,slug,url
22689,villarreal-barcelona,https://www.futbolfantasy.com/partidos/22689-villarreal-barcelona
22690,athletic-celta,https://www.futbolfantasy.com/partidos/22690-athletic-celta
22691,atletico-elche,https://www.futbolfantasy.com/partidos/22691-atletico-elche
22692,alaves-racing,https://www.futbolfantasy.com/partidos/22692-alaves-racing
22693,deportivo-real-sociedad,https://www.futbolfantasy.com/partidos/22693-deportivo-real-sociedad
22694,espanyol-osasuna,https://www.futbolfantasy.com/partidos/22694-espanyol-osasuna
22695,barcelona-levante,https://www.futbolfantasy.com/partidos/22695-barcelona-levante
22696,malaga-betis,https://www.futbolfantasy.com/partidos/22696-malaga-betis
22697,rayo-getafe,https://www.futbolfantasy.com/partidos/22697-rayo-getafe
22698,sevilla-real-madrid,https://www.futbolfantasy.com/partidos/22698-sevilla-real-madrid
22699,villarreal-valencia,https://www.futbolfantasy.com/partidos/22699-villarreal-valencia
22700,athletic-barcelona,https://www.futbolfantasy.com/partidos/22700-athletic-barcelona
22701,celta-espanyol,https://www.futbolfantasy.com/partidos/22701-celta-espanyol
22702,getafe-alaves,https://www.futbolfantasy.com/partidos/22702-getafe-alaves
22703,levante-deportivo,https://www.futbolfantasy.com/partidos/22703-levante-deportivo
22704,malaga-atletico,https://www.futbolfantasy.com/partidos/22704-malaga-atletico
22705,osasuna-sevilla,https://www.futbolfantasy.com/partidos/22705-osasuna-sevilla
22706,betis-villarreal,https://www.futbolfantasy.com/partidos/22706-betis-villarreal
22707,real-madrid-valencia,https://www.futbolfantasy.com/partidos/22707-real-madrid-valencia
22708,racing-rayo,https://www.futbolfantasy.com/partidos/22708-racing-rayo
22709,real-sociedad-elche,https://www.futbolfantasy.com/partidos/22709-real-sociedad-elche
22710,atletico-celta,https://www.futbolfantasy.com/partidos/22710-atletico-celta
22711,alaves-athletic,https://www.futbolfantasy.com/partidos/22711-alaves-athletic
22712,deportivo-getafe,https://www.futbolfantasy.com/partidos/22712-deportivo-getafe
22713,elche-malaga,https://www.futbolfantasy.com/partidos/22713-elche-malaga
22714,espanyol-racing,https://www.futbolfantasy.com/partidos/22714-espanyol-racing
22715,barcelona-betis,https://www.futbolfantasy.com/partidos/22715-barcelona-betis
22716,rayo-osasuna,https://www.futbolfantasy.com/partidos/22716-rayo-osasuna
22717,sevilla-real-sociedad,https://www.futbolfantasy.com/partidos/22717-sevilla-real-sociedad
22718,valencia-levante,https://www.futbolfantasy.com/partidos/22718-valencia-levante
22719,villarreal-real-madrid,https://www.futbolfantasy.com/partidos/22719-villarreal-real-madrid
22720,athletic-valencia,https://www.futbolfantasy.com/partidos/22720-athletic-valencia
22721,alaves-sevilla,https://www.futbolfantasy.com/partidos/22721-alaves-sevilla
22722,elche-villarreal,https://www.futbolfantasy.com/partidos/22722-elche-villarreal
22723,barcelona-deportivo,https://www.futbolfantasy.com/partidos/22723-barcelona-deportivo
22724,getafe-real-sociedad,https://www.futbolfantasy.com/partidos/22724-getafe-real-sociedad
22725,malaga-rayo,https://www.futbolfantasy.com/partidos/22725-malaga-rayo
22726,osasuna-celta,https://www.futbolfantasy.com/partidos/22726-osasuna-celta
22727,betis-levante,https://www.futbolfantasy.com/partidos/22727-betis-levante
22728,real-madrid-espanyol,https://www.futbolfantasy.com/partidos/22728-real-madrid-espanyol
22729,racing-atletico,https://www.futbolfantasy.com/partidos/22729-racing-atletico
22730,atletico-getafe,https://www.futbolfantasy.com/partidos/22730-atletico-getafe
22731,celta-real-madrid,https://www.futbolfantasy.com/partidos/22731-celta-real-madrid
22732,espanyol-athletic,https://www.futbolfantasy.com/partidos/22732-espanyol-athletic
22733,levante-osasuna,https://www.futbolfantasy.com/partidos/22733-levante-osasuna
22734,rayo-barcelona,https://www.futbolfantasy.com/partidos/22734-rayo-barcelona
22735,racing-betis,https://www.futbolfantasy.com/partidos/22735-racing-betis
22736,real-sociedad-alaves,https://www.futbolfantasy.com/partidos/22736-real-sociedad-alaves
22737,sevilla-elche,https://www.futbolfantasy.com/partidos/22737-sevilla-elche
22738,valencia-deportivo,https://www.futbolfantasy.com/partidos/22738-valencia-deportivo
22739,villarreal-malaga,https://www.futbolfantasy.com/partidos/22739-villarreal-malaga
22740,athletic-racing,https://www.futbolfantasy.com/partidos/22740-athletic-racing
22741,deportivo-villarreal,https://www.futbolfantasy.com/partidos/22741-deportivo-villarreal
22742,elche-alaves,https://www.futbolfantasy.com/partidos/22742-elche-alaves
22743,barcelona-sevilla,https://www.futbolfantasy.com/partidos/22743-barcelona-sevilla
22744,getafe-espanyol,https://www.futbolfantasy.com/partidos/22744-getafe-espanyol
22745,levante-rayo,https://www.futbolfantasy.com/partidos/22745-levante-rayo
22746,malaga-osasuna,https://www.futbolfantasy.com/partidos/22746-malaga-osasuna
22747,betis-celta,https://www.futbolfantasy.com/partidos/22747-betis-celta
22748,real-madrid-atletico,https://www.futbolfantasy.com/partidos/22748-real-madrid-atletico
22749,real-sociedad-valencia,https://www.futbolfantasy.com/partidos/22749-real-sociedad-valencia
22750,atletico-levante,https://www.futbolfantasy.com/partidos/22750-atletico-levante
22751,celta-elche,https://www.futbolfantasy.com/partidos/22751-celta-elche
22752,alaves-betis,https://www.futbolfantasy.com/partidos/22752-alaves-betis
22753,espanyol-malaga,https://www.futbolfantasy.com/partidos/22753-espanyol-malaga
22754,osasuna-real-madrid,https://www.futbolfantasy.com/partidos/22754-osasuna-real-madrid
22755,rayo-real-sociedad,https://www.futbolfantasy.com/partidos/22755-rayo-real-sociedad
22756,racing-barcelona,https://www.futbolfantasy.com/partidos/22756-racing-barcelona
22757,sevilla-deportivo,https://www.futbolfantasy.com/partidos/22757-sevilla-deportivo
22758,valencia-getafe,https://www.futbolfantasy.com/partidos/22758-valencia-getafe
22759,villarreal-athletic,https://www.futbolfantasy.com/partidos/22759-villarreal-athletic
22760,atletico-sevilla,https://www.futbolfantasy.com/partidos/22760-atletico-sevilla
22761,alaves-rayo,https://www.futbolfantasy.com/partidos/22761-alaves-rayo
22762,deportivo-celta,https://www.futbolfantasy.com/partidos/22762-deportivo-celta
22763,elche-osasuna,https://www.futbolfantasy.com/partidos/22763-elche-osasuna
22764,barcelona-espanyol,https://www.futbolfantasy.com/partidos/22764-barcelona-espanyol
